year,dot_value,dot_count,dot_label,fac_label,fac_order,color_outline,color_fill
2017,67.3529,34,IND,Brand strength,6,grey,#003DA5
2017,68.2609,46,DES,Brand strength,6,grey,#00874E
2017,60.4167,24,EQL,Brand strength,6,grey,#EB7013
2017,83.6111,72,GWL,Brand strength,6,grey,#000000
2017,89.7368,76,SUN,Brand strength,6,grey,#A39A86
2017,52.2222,36,EMP,Brand strength,6,grey,#F79A12
2017,82.4324,74,MAN,Brand strength,6,grey,#A52D9F
2017,65,14,GSC,Brand strength,6,grey,#81BC00
2017,68.6364,22,SSQ,Brand strength,6,grey,#006349
2017,70.8824,34,MBC,Brand strength,6,grey,#0093D0
2017,81.7391,69,GWL,Overall service client,7,grey,#000000
2017,73.4375,32,MBC,Overall service client,7,grey,#0093D0
2017,81.6667,12,GSC,Overall service client,7,grey,#81BC00
2017,79.6774,31,EMP,Overall service client,7,grey,#F79A12
2017,84.5,20,EQL,Overall service client,7,grey,#EB7013
2017,63.5714,70,MAN,Overall service client,7,grey,#A52D9F
2017,81.7857,28,IND,Overall service client,7,grey,#003DA5
2017,72.7778,18,SSQ,Overall service client,7,grey,#006349
2017,83.6111,72,SUN,Overall service client,7,grey,#A39A86
2017,66.0976,41,DES,Overall service client,7,grey,#00874E
2017,70,21,SSQ,Overall svc to intermediaries,8,grey,#006349
2017,63.6364,77,MAN,Overall svc to intermediaries,8,grey,#A52D9F
2017,67.0455,44,DES,Overall svc to intermediaries,8,grey,#00874E
2017,77.1429,14,GSC,Overall svc to intermediaries,8,grey,#81BC00
2017,78.3562,73,GWL,Overall svc to intermediaries,8,grey,#000000
2017,74.1667,36,MBC,Overall svc to intermediaries,8,grey,#0093D0
2017,82.5,24,EQL,Overall svc to intermediaries,8,grey,#EB7013
2017,80.9091,33,IND,Overall svc to intermediaries,8,grey,#003DA5
2017,82.9114,79,SUN,Overall svc to intermediaries,8,grey,#A39A86
2017,73.4211,38,EMP,Overall svc to intermediaries,8,grey,#F79A12
2017,64.7059,68,MAN,Overall technology intermediary,2,grey,#A52D9F
2017,74.7619,21,EQL,Overall technology intermediary,2,grey,#EB7013
2017,77.7612,67,GWL,Overall technology intermediary,2,grey,#000000
2017,79.3056,72,SUN,Overall technology intermediary,2,grey,#A39A86
2017,69.3333,15,SSQ,Overall technology intermediary,2,grey,#006349
2017,65.5882,34,MBC,Overall technology intermediary,2,grey,#0093D0
2017,70,13,GSC,Overall technology intermediary,2,grey,#81BC00
2017,66.0606,33,EMP,Overall technology intermediary,2,grey,#F79A12
2017,70.3846,26,IND,Overall technology intermediary,2,grey,#003DA5
2017,65.4286,35,DES,Overall technology intermediary,2,grey,#00874E
2017,72.3611,36,MBC,Price competitiveness,3,grey,#0093D0
2017,65.3846,13,GSC,Price competitiveness,3,grey,#81BC00
2017,77.2727,33,IND,Price competitiveness,3,grey,#003DA5
2017,69.1549,71,GWL,Price competitiveness,3,grey,#000000
2017,77.5676,74,MAN,Price competitiveness,3,grey,#A52D9F
2017,73.7143,35,EMP,Price competitiveness,3,grey,#F79A12
2017,67.8571,42,DES,Price competitiveness,3,grey,#00874E
2017,74.7826,23,EQL,Price competitiveness,3,grey,#EB7013
2017,76.3636,77,SUN,Price competitiveness,3,grey,#A39A86
2017,67.2727,22,SSQ,Price competitiveness,3,grey,#006349
2017,70,43,DES,True to label,5,grey,#00874E
2017,80.9091,33,IND,True to label,5,grey,#003DA5
2017,81.0811,74,SUN,True to label,5,grey,#A39A86
2017,78.2857,70,GWL,True to label,5,grey,#000000
2017,74.375,32,MBC,True to label,5,grey,#0093D0
2017,87.1429,14,GSC,True to label,5,grey,#81BC00
2017,86.25,24,EQL,True to label,5,grey,#EB7013
2017,68.125,72,MAN,True to label,5,grey,#A52D9F
2017,77.4286,35,EMP,True to label,5,grey,#F79A12
2017,75.2381,21,SSQ,True to label,5,grey,#006349
2017,73.4286,35,EMP,Value of offer,4,grey,#F79A12
2017,78.4375,32,IND,Value of offer,4,grey,#003DA5
2017,83.1507,73,SUN,Value of offer,4,grey,#A39A86
2017,78.5507,69,GWL,Value of offer,4,grey,#000000
2017,74.5,20,SSQ,Value of offer,4,grey,#006349
